Biology	8.2	18.5	22.1	22.0	17.5	8.6	3.1	54794
Chemistry	8.6	23.2	23.9	19.9	14.2	7.3	3.0	46745
Physics	9.5	20.1	20.5	19.5	16.3	10.0	4.1	32760
Other Science	7.6	17.8	24.7	23.1	17.0	7.9	1.9	3161
Maths	18.6	24.6	22.0	16.2	11.0	6.2	1.4	84226
Further Maths	30.3	28.9	19.5	10.6	6.6	3.4	0.7	14669
English	6.3	13.3	28.2	30.7	16.8	4.1	0.8	71038
Design and Technology	5.0	12.8	24.0	26.9	20.0	9.4	2.0	10588
Computer Science4	3.0	13.8	20.4	23.3	21.4	12.5	5.5	7544
ICT5	1.1	7.8	20.2	28.5	25.8	13.4	3.2	5316
Home Economics	3.2	20.4	28.1	20.4	15.4	10.0	2.7	221
Accounting and Finance	3.4	13.2	24.8	24.9	19.9	10.9	2.9	2283
Business Studies	3.5	11.6	28.7	30.5	17.5	6.1	2.0	27051
Economics	7.7	24.3	29.2	22.4	11.1	3.8	1.5	28621
Geography	6.2	21.1	29.7	25.2	13.0	4.1	0.8	34795
Government and Politics	7.2	20.5	28.8	23.7	13.3	5.1	1.4	15809
History	6.2	18.2	31.5	26.8	13.0	3.4	0.9	44841
Law	5.3	14.0	27.5	25.3	16.5	8.7	2.7	10543
Psychology	4.8	13.8	27.4	27.7	16.9	6.6	2.8	55989
Sociology	5.0	14.5	30.6	27.7	14.9	5.3	1.9	32528
Other social studies	5.8	14.6	26.9	24.0	17.4	8.3	3.0	2815
Art and design	12.7	15.3	30.5	24.1	12.0	4.0	1.4	40085
Drama	4.2	12.6	30.9	30.8	16.7	4.4	0.4	10733
Media /Film / TV studies	1.6	9.6	30.9	36.8	17.1	3.4	0.5	17997
Other communication studies 	2.6	10.4	34.9	36.7	12.9	2.1	0.4	10097
French	10.9	29.6	26.4	18.4	10.4	3.7	0.6	8306
German	9.6	31.2	27.9	18.2	9.0	3.4	0.6	3281
Spanish	10.8	27.5	29.7	19.0	9.0	3.4	0.6	7566
Classical Studies	10.3	25.9	29.8	20.9	9.5	2.9	0.8	6018
Religious Studies	5.7	18.6	30.8	25.8	13.0	4.8	1.3	22066
Music	5.2	14.9	25.5	27.0	18.4	7.6	1.3	5585
Physical Education	4.4	14.0	24.8	25.2	18.4	11.4	1.8	11172
